StockCode,popularity_score
22728,810
21889,607
90210B,7
21259,296
21894,135
21452,200
22121,141
90022,21
21249,119
90143,22
84881,8
21248,68
22254,61
20868,46
21331,8
90197B,27
22596,274
90026D,3
90177A,10
21711,36
22130,116
22314,137
21671,388
22436,170
84884a,26
84212,111
21535,370
21534,170
17084J,8
90120D,6
gift_0001_50,4
79320,1
21645,2
40046A,7
72800F,1
22629,924
82486,637
22438,104
22529,71
10133,200
21967,239
85064,35
85170D,102
90094,13
85036A,72
84977,3
90070,15
85130C,48
21456,26
90183C,9
23054,132
21086,439
84347,475
22077,986
21556,118
22107,188
22920,250
21690,11
21833,172
22154,172
22335,235
85131B,172
90134,45
22431,343
22893,149
85049F,92
72351A,159
90199B,8
21683,59
22026,162
35915B,50
84466,11
23156,214
20723,742
22922,108
22652,479
22919,248
48184,416
22043,66
20856,63
22831,123
21364,25
21714,233
47566b,102
22415,14
84313C,46
21117,17
84686,10
22508,304
21584,160
22895,292
21498,339
22049,36
82583,651
21238,400
22184,38
22875,25
85170A,2
90164A,15
90180B,5
21484,423
22543,57
22800,210
79030G,70
84598,101
79144B,54
21745,219
90198B,17
37501,52
90027A,3
90186B,15
90030C,11
90164B,16
84592,22
84845D,1
22633,516
22168,89
20914,937
72800E,142
21107,101
21408,121
22482,54
21181,882
21221,54
21159,126
90204,19
84849D,119
22129,101
84510C,56
90129E,14
22721,300
22923,89
84558A,85
22375,173
85071D,86
20675,327
85066,555
84247G,32
79000,134
90000D,14
85230F,13
84997d,75
20861,2
90168,13
85059,131
84251B,55
22698,830
90202D,12
84218,42
85200,28
84801A,7
85063,2
21283,1
71053,355
21731,874
85014B,355
22434,130
21430,494
22821,141
84509c,27
90162D,5
20764,78
21401,83
90158,35
22526,85
90039D,9
22249,157
85188A,43
90135,2
21071,183
22494,253
85135B,52
22517,73
90129B,20
21000,54
90019B,18
21058,128
22285,124
21989,342
22255,77
90214C,33
20734,30
47343A,15
20671,3
84637,83
90128D,2
20664,19
79323W,2
82001s,27
90063A,8
22748,451
22839,214
22940,339
22907,709
20719,858
20699,42
22788,64
22447,45
22433,232
20986,118
22158,324
20985,143
84813,39
90014B,16
22677,196
20731,19
90129C,16
21376,19
47420,19
84795b,14
21228,3
17021,57
22584,201
22797,103
85015,145
47567B,146
22777,65
22636,213
22859,167
21455,121
22148,194
84199,33
35921,24
90029,4
35809B,5
84029G,474
22088,245
22245,104
21868,322
70006,123
85129B,31
85039C,68
79160,58
90214Z,10
84688,18
84638,38
90163B,5
72038P,1
90176C,2
22913,114
22327,306
22585,420
22082,429
22626,210
21884,93
22081,141
22560,391
85045,14
21470,143
90082D,7
90082A,18
20751,226
22408,30
85049e,42
21287,55
85034C,174
21785,8
90130B,31
21410,2
20818,5
90205C,15
22776,578
20969,311
84508A,38
85049a,36
79149B,8
22685,105
84706D,5
gift_0001_20,10
72821,5
15058C,73
35815P,8
16202A,2
22687,56
22352,498
84755,640
21826,40
22429,403
82613B,114
11001,120
21507,265
21495,166
20978,270
17014A,9
35916C,21
22209,179
21031,20
21250,20
85036C,97
84536b,1
DCGS0070,2
90041,4
84726,1
22726,1026
35004C,49
84970S,546
22865,689
22766,533
22791,362
22124,77
85132B,76
20760,23
37464,4
21845,91
62018,61
22647,47
22053,29
22989,383
84536a,4
47344B,7
37330,1
23158,260
84576,19
22139,993
22262,146
22470,963
16238,136
20777,80
21621,495
72800B,41
DOT,710
22692,452
71496A,12
44234,38
22828,7
22856,30
21082,26
90148,9
23183,88
21363,137
22915,190
21108,270
85049G,277
22902,140
22115,230
21524,489
21801,128
21922,211
21220,90
22890,183
21616,142
85136B,3
22047,109
84929,72
22247,118
22268,168
84750A,4
22779,160
22962,366
20668,222
21328,353
22813,218
22607,366
35954,60
21638,42
22458,24
84508B,33
84952A,26
84876B,38
85230A,18
22143,1
23006,179
23157,174
22469,1239
22910,850
21232,904
21497,232
21830,112
22084,457
90039C,6
85087,127
22789,144
85205B,30
90014A,22
72789,1
21324,31
20685,707
22367,573
21179,277
22315,175
22134,164
22432,287
22519,91
90116,45
21407,140
22641,37
22649,230
85144,45
22256,56
85215,20
22106,49
90214P,16
48116,206
62095B,1
84800M,13
21344,7
21559,598
21815,32
20707,150
22604,131
22697,1085
21991,213
85039A,165
22366,226
85167B,10
21051,54
21468,66
22817,290
90211B,7
17013D,15
84748,65
84612B,1
22086,1210
22349,135
85150,486
22785,74
22186,154
22309,123
71459,452
85174,164
20894,15
84809A,10
85039B,173
85026B,11
78124,19
21144,4
22291,128
85032B,134
23232,246
17136A,21
20796,9
17091A,28
22587,166
22489,450
85019C,13
35961,251
22278,186
20768,56
22705,79
22181,60
35599B,27
75131,16
21619,169
22732,190
84711A,17
84356,82
23076,280
22545,77
21808,50
22761,27
84993A,55
21040,10
20936,35
90184B,21
21186,2
gift_0001_40,3
84675,3
47518F,28
90141D,2
72807b,4
90026B,3
20689,1
23254,315
22358,262
22059,192
21111,96
20974,370
21429,306
82615,1
22260,108
21060,71
22320,77
22341,78
10123C,4
22337,78
21209,94
47574A,118
72803B,1
84806A,11
22809,213
22620,498
84086C,55
20956,108
21189,73
22617,484
21784,50
21947,159
84924A,33
21812,104
48189,19
85107,33
35911B,15
22125,4
22424,473
35004B,121
22144,563
22480,75
84050,267
90190C,19
17012F,95
21372,33
47566B,379
22507,464
85129C,15
90050,5
21613,43
90081C,15
84510c,23
21689,27
21717,43
90201C,22
84823,27
84931B,52
35265,12
23049,188
84876C,1
22224,168
21034,967
22792,210
21421,17
21042,140
21112,82
84789,51
21617,106
85213,38
84993a,19
23177,278
21942,104
79030D,51
46000R,38
21643,62
22491,223
21157,35
22628,203
22363,91
35951,1
22123,124
35924,79
22389,46
84820,33
85163A,32
90103,16
22266,100
23007,188
21756,285
22500,101
21658,242
22589,81
46000S,196
22796,258
21268,1
21829,185
22843,137
21389,137
22085,98
16052,14
22541,36
90128C,2
21132,22
84821,43
90058B,16
90038A,10
22957,223
44092C,10
79026B,10
84499,4
85049A,332
22198,103
21980,303
21892,424
22372,152
85067,7
22265,71
37449,180
21349,15
22145,3
22638,53
90206C,32
84926A,35
90175A,25
84707B,18
84876D,18
90179A,5
21035,403
21975,641
21929,885
84510A,247
21985,434
84997D,481
84569B,22
21466,112
21576,78
48188,291
21669,451
20615,97
17091J,99
15039,149
84926D,35
37500,116
84804A,9
84741C,16
16020C,19
23178,73
20728,1197
22147,507
22575,95
22065,265
84912B,165
22316,57
21211,105
22063,133
35610B,2
84452,18
82483,603
84985A,21
21810,271
20902,57
22080,163
72807A,118
22747,233
85212,82
20970,266
22460,219
22374,232
21741,40
75049L,231
47367B,43
90093,10
37413,84
84803B,5
79321,683
22417,535
22024,217
22781,246
20828,250
21357,13
85014a,14
85206A,119
72122,63
85119,2
22281,64
90123B,5
21280,12
84596f,12
22466,215
22113,595
22712,320
21123,160
37448,206
22924,96
90003E,15
21379,51
51008,24
84917,30
72709,8
84631,30
m,1
23194,229
23050,206
22654,345
22768,287
21061,83
22396,135
37489A,16
20897,26
22102,32
90036E,11
21841,26
21395,95
72732,1
POST,1256
85099C,960
84854,2
20966,101
22243,137
85044,1
22765,6
21974,367
84763,59
84270,5
21027,47
90161D,34
85024C,10
22269,127
90042C,6
22391,29
90160D,12
90214T,11
84745B,5
22772,264
21708,66
22983,447
22360,241
22666,1180
21352,80
