StockCode,month,monthly_sales
22449,12,62
21122,12,601
15060B,12,56
72349b,12,41
20998,12,12
90214Y,12,61
84978,12,497
79403,12,5
84978,1,904
21164,1,94
21556,1,65
22184,1,17
20711,1,564
22674,1,85
22477,1,15
82552,1,80
37446,1,163
71038,1,26
90059A,1,4
85206B,1,14
22221,1,12
84279B,1,192
21122,2,547
22693,2,3795
20749,2,268
22363,2,-87
21662,2,18
22282,2,16
22791,2,442
21818,2,60
22474,2,23
22376,2,6
22454,2,9
84828,2,19
21657,2,4
16207A,2,5
21415,2,11
84806A,2,24
90152A,2,1
90032,2,3
46000S,2,30
82616C,2,1
90124B,2,2
22993,3,1653
84347,3,11
84884a,3,4
48129,3,50
82616B,3,26
72351A,3,100
20775,3,11
21609,3,45
22924,3,78
gift_0001_10,3,1
37475,3,4
22526,3,22
84595E,3,3
20866,3,-227
21642,3,65
79030D,4,138
22354,4,52
22692,4,76
85186C,4,146
22426,4,63
35241,4,14
72807A,4,7
22111,4,11
21161,4,-6
20914,4,365
22812,12,242
21249,12,34
71477,12,1123
84596J,12,8
90019B,12,3
22733,12,153
84763,12,126
90195B,12,2
21201,12,-331
84849A,12,19
84819,12,428
37500,12,24
90057,12,360
22796,1,49
79160,1,5
84993A,1,12
84968D,1,92
22207,1,88
85099C,1,840
21071,1,146
22743,1,47
22746,1,55
22621,1,133
21066,1,13
84247N,1,3
90003D,1,4
17013D,2,96
47590B,2,177
22295,2,183
22522,2,107
22919,2,174
21676,2,4
21201,2,53
22207,2,153
51014C,2,65
22265,2,110
85200,2,71
22459,2,29
84931A,2,1
23003,2,75
22229,3,149
22747,3,152
22304,3,28
82578,3,115
22742,3,67
22115,3,87
22867,3,4
22913,3,22
22602,3,59
22257,3,29
21402,3,248
90164A,3,2
22641,3,1
21931,4,616
22480,4,8
84510c,4,13
22361,4,68
23232,4,700
22348,4,191
22481,12,-59
22493,12,274
21833,12,488
22816,12,943
90120C,12,10
20996,12,219
21364,12,8
21163,12,22
22985,12,101
21677,12,112
84507C,12,8
90187B,12,4
90188,12,4
90042B,12,1
79066k,12,2
22281,12,3
22257,1,139
22396,1,134
90161C,1,11
22603,1,5
20854,1,78
20998,1,29
21507,1,375
21429,1,166
84926D,1,96
90125A,1,53
90125B,1,21
90125C,1,28
21439,1,100
22441,1,35
21742,1,5
21891,1,259
21096,1,29
84898F,1,12
90003B,1,2
84247L,1,92
90212B,1,1
72133,1,4
22413,2,105
20832,2,66
22856,2,64
21754,2,269
22260,2,98
21987,2,378
22352,2,303
85016,2,35
85114B,2,39
22732,2,5
22400,2,14
22155,2,1
10124A,2,3
16014,2,1501
35646,2,4
22940,2,2
84226,2,3
22316,2,2
21217,3,231
21034,3,133
22138,3,268
20707,3,57
20831,3,25
35810B,3,47
84192,3,1
22133,3,150
72802A,3,55
90129A,3,13
17012F,3,7
22316,3,16
37330,3,6
22083,4,353
22294,4,571
22167,4,25
84378,4,251
21204,4,91
22610,12,944
21985,12,412
22769,12,0
22640,12,89
21656,12,14
22393,12,270
21470,12,34
15036,12,182
84795B,12,8
85230G,12,96
22937,1,263
22564,1,48
84947,1,414
47563A,1,19
22516,1,51
22661,1,303
85025C,1,53
85026B,1,13
22801,1,65
90141B,1,1
90001C,1,1
82616B,1,4
21365,1,32
22468,2,17
85194S,2,98
85130C,2,29
22473,2,15
21446,2,51
22154,2,14
90123A,2,2
90128D,2,1
16015,2,101
22442,2,8
22946,2,1
85064,2,-1
22429,3,96
22852,3,56
22906,3,59
85169B,3,5
72819,3,9
22732,3,2
72800E,3,7
20654,3,15
22060,3,50
72133,3,5
22461,4,61
21899,4,230
21165,4,150
21928,4,624
DOT,4,47
22064,4,72
22405,4,28
21890,4,75
21803,4,16
48187,12,189
85152,12,1565
22382,12,605
22848,12,34
22445,12,129
21056,12,31
47591B,12,106
79030D,12,19
21899,12,187
22944,12,159
20755,12,34
85106,12,14
22984,12,86
84707B,12,17
84665,12,8
90027A,12,5
22935,12,112
20664,12,6
72801d,12,11
21703,1,148
21673,1,350
21809,1,3
90183B,1,3
21165,1,251
37448,1,258
84819,1,296
22308,1,16
17003,1,3181
22083,1,168
21413,1,22
21577,1,37
21280,1,6
22883,1,29
22099,1,78
22825,1,3
85039A,2,44
47590A,2,144
21755,2,201
82582,2,167
21034,2,66
22966,2,580
82482,2,469
84031B,2,10
22642,2,19
20696,2,1
20867,2,12
22452,2,5
21704,2,329
90065A,2,4
21039,3,148
21621,3,550
22766,3,283
22431,3,217
22904,3,58
23182,3,687
22681,3,78
22361,3,64
79302M,3,106
21000,3,-28
90201A,3,5
21634,3,37
22113,3,10
23187,3,12
35001G,3,2
16016,3,70
22902,4,183
22758,4,31
21990,4,23
21878,3,400
85049C,12,89
17164B,12,12
85114C,12,88
46000R,12,8
22505,12,100
16010,12,12
84509C,12,6
21717,12,57
90147,12,3
21420,12,29
90126A,12,1
21930,1,336
22378,1,718
22410,1,8
22968,1,165
85042,1,-3
21421,1,64
22399,1,265
90210C,1,2
22763,2,5
20685,2,185
21531,2,133
21164,2,176
21507,2,246
21291,2,65
90197B,2,1
22277,2,2
90013B,2,3
72131,2,6
84950,2,156
20704,2,1
72800B,2,1
90178A,2,1
22317,3,32
21918,3,1259
20723,3,973
22110,3,19
22414,3,14
82599,3,127
21911,3,-16
37501,3,23
71406C,3,3
21579,3,5
22700,3,6
21714,4,251
22965,4,78
84509c,4,10
22176,4,42
22436,4,154
84507C,4,14
22459,3,-5
22384,12,461
20982,12,246
22670,12,252
90185C,12,0
22653,12,208
21991,12,60
35971,12,53
90211A,12,5
85035A,12,32
21726,12,44
21630,12,8
17165D,12,18
47504K,1,267
20663,1,10
21428,1,146
84077,1,1492
84510A,1,94
72128,1,3
22605,1,28
21042,1,48
84997c,1,1
21360,1,2
21357,1,6
82616C,1,3
90191,1,1
22591,1,-1
21243,2,286
22255,2,67
47504K,2,107
79190A,2,22
20802,2,40
22741,2,434
22117,2,49
21682,2,11
21581,2,12
21479,2,24
22601,2,1
21088,2,29
84536A,3,204
84828,3,106
22855,3,680
84803B,3,15
22827,3,4
22268,3,167
22656,3,7
37423,3,78
85114c,3,8
37476,3,4
84870B,3,5
22036,3,-45
22224,4,131
23076,4,1292
22726,4,459
22971,4,211
22519,4,82
22740,4,933
21164,4,82
20830,4,15
84912A,4,89
22248,4,32
84801B,4,12
22728,12,547
84510A,12,106
21587,12,150
20713,12,1007
20717,12,163
22645,12,745
22187,12,98
22740,12,544
90099,12,8
20658,12,52
22307,12,104
22894,12,12
22512,12,45
DOT,1,60
85168B,1,21
51020B,1,4
22523,1,165
46776F,1,5
35911A,1,15
22495,1,8
22562,1,41
82494l,1,4
22324,1,6
22252,1,6
21317,1,4
21476,1,2
22427,2,110
84748,2,-44
22683,2,78
22350,2,45
21082,2,8
84927A,2,1
22867,2,-93
S,2,-28
21736,2,18
21371,2,4
72801D,3,13
22920,3,206
21820,3,7
84789,3,44
22966,3,793
90016C,3,1
85130D,3,20
21415,3,15
22091,3,16
90168,3,1
10002,4,186
21509,4,150
84993B,4,-51
79066K,4,40
22266,4,102
21313,4,265
20665,4,43
21452,4,79
21367,4,1
22771,3,562
22779,12,528
22435,12,311
21873,12,337
21817,12,90
17084P,12,53
22507,12,328
